Animal,Jump_no,JH,DF-FTJ,FTJ-F,DF-F,H-FTJ,H-F,H.DF,H-FTJangle
A6,5,75,9.112377187,8.168169011,3.170764734,26.29204642,26.7682732,23.79443887,116.7171618
F1,1,75,3.522153035,4.04379125,3.834647078,22.69500386,25.84628435,22.2104068,150.66957
F1,2,75,8.994152823,8.032136578,2.876890856,26.36287073,26.33144745,23.62343955,120.5248382
F1,3,75,8.475303239,7.899058736,2.886441412,24.10364528,24.69616134,21.9196669,118.6822151
F1,4,75,9.861265842,9.111429745,3.202876832,27.96182605,28.00643133,24.90392628,118.9289097
F1,5,75,7.191478986,6.675299244,2.835618098,23.97003363,24.73025556,21.97618971,122.8017177
M1,1,75,6.107615001,5.831827587,3.090906016,22.48698326,24.57278423,21.64415914,114.6178079
M1,2,75,8.714134529,8.444451079,2.832990116,23.54399494,24.33887066,21.56857348,106.0266315
M1,3,75,7.598201432,7.522643356,2.495471769,22.14705872,23.98078096,21.5831769,109.4943658
M1,4,75,7.543888255,7.392098281,3.598688789,22.9728209,24.9092962,21.40239823,109.0802738
M1,5,75,7.800672022,7.641827334,2.870758262,22.39715004,23.53340207,20.71552524,111.2811703
M2,1,75,7.208646614,6.437148748,3.0031933,22.58225981,23.30661215,20.4473969,117.3752739
M2,2,75,6.727525102,6.460674036,2.045649286,22.85855857,23.95949184,22.00132619,107.7617455
M2,3,75,7.769567362,7.683788909,2.975148568,23.09781539,24.33484826,21.40022488,116.0163663
M2,4,75,7.039019605,6.706735495,3.542408785,23.10516057,24.70786118,21.25350606,117.6519553
M2,5,75,8.289885886,8.445344102,2.517056416,23.38664672,25.23548965,22.76162782,103.0103046
A1,1,75,8.413908842,7.942716916,1.883138805,26.97410729,26.29245124,24.45121493,107.9337324
A1,2,100,8.797154199,7.523908027,2.294958387,27.60169149,21.86608207,19.68226555,151.4060275
A1,3,100,7.766872279,6.726192162,2.193376393,28.4674876,27.37784639,25.3001782,121.1095632
A1,4,100,8.75253072,8.413123201,0.645182145,27.27455527,20.14375965,19.54784236,147.4790958
A1,5,100,7.085062879,6.319259846,2.284637608,12.29093015,10.40477933,8.15461489,128.8419655
A1,6,100,9.82942967,9.282388304,1.977725967,28.35215,21.32444825,19.66250933,152.0142149
A1,7,100,8.469042036,7.48258144,2.407480426,26.53186891,25.1526833,22.820671,120.6985215
A1,8,100,8.863597971,7.808246538,2.29094151,26.74241964,20.48760137,18.47428399,142.8082885
A1,9,100,8.496139947,7.417228054,3.495009299,28.80929928,28.59595735,25.17760134,127.4490291
A1,10,100,9.570454243,9.360549216,1.754618192,28.48256826,20.88888149,19.70385173,150.7716923
A1,11,100,7.177052459,6.407668219,2.927001537,25.68275431,25.86305715,23.00357531,128.4793173
A1,12,100,8.945751395,8.80695301,1.08364293,25.92824312,25.64518358,24.58579226,114.1385051
A1,13,100,8.106538164,7.496379459,2.002023976,28.71437899,27.89302124,25.93739466,109.1479537
A1,14,100,5.868804478,6.254895222,1.101467183,25.7961733,26.21736488,25.15300072,123.4564509
A1,15,100,8.008004901,7.64010045,1.808077046,26.61414551,26.32260112,24.55209502,110.8896328
A1,16,100,8.698497169,8.336246218,2.231291106,26.08965191,25.49095185,23.27813674,117.4385941
A1,17,100,9.610679578,9.218961826,2.522,25.37805871,26.5857726,24.21186744,115.7996154
A1,18,100,7.53000425,6.721133535,2.444729842,26.90875963,27.20970652,24.91698122,123.6495284
A1,19,100,8.277634505,7.943370884,2.393844189,25.78122922,26.97130766,24.68695828,117.6399408
A1,20,100,7.294411354,6.375170664,2.543577402,27.67443055,27.36424355,24.91237807,131.1953666
A1,21,100,8.691065815,7.894281373,2.318224515,27.59863448,26.2479291,23.97578987,128.0626354
A1,22,100,8.733597197,7.86449013,4.025531642,26.48761658,26.6642852,22.68681661,131.0904503
A1,23,100,7.369303088,6.599948863,2.498712669,27.62388613,27.40535878,24.97539767,124.7231906
A1,24,100,4.941526586,4.063887917,2.370056961,26.97974299,27.08195807,24.77401358,144.4259805
A1,25,100,7.088165489,6.230149035,2.292008944,27.50252296,27.16170705,24.96533391,129.8074341
A4,1,100,8.794984309,8.411769433,3.858509816,24.99967898,26.93479092,23.22651519,110.0026586
A5,1,100,8.023853688,5.64843527,3.778460665,29.21640392,28.02389204,24.47356341,124.3970155
