Animal,Jump_no,JH,LV,LA,AV,AA,RE/KE
A1,7,100,2.181,4.758,43.959,1932.388,0.706748336
A1,8,100,2.024,4.096,15.653,245.003,0.104078622
A1,9,100,2.27,5.155,37.059,1373.348,0.463551311
A1,10,100,1.792,3.211,26.624,708.826,0.384145896
A1,11,100,1.903,3.62,27.075,733.048,0.352376815
A1,12,100,1.748,3.055,21.386,457.353,0.260470592
A1,13,100,2.219,4.926,42.116,1773.744,0.626598178
A1,14,100,2.039,4.157,29.253,855.749,0.358206691
A1,15,100,1.943,3.776,35.755,1278.407,0.589074528
A1,16,100,1.542,2.377,26.029,677.516,0.495933909
A1,17,100,1.789,3.2,33.664,1133.254,0.616161367
A1,18,100,2.1,4.412,37.362,1395.937,0.550580878
A1,19,100,2.167,4.695,43.23,1868.829,0.692630882
A1,20,100,1.862,3.467,29.065,844.782,0.423952447
A1,21,100,1.985,3.94,26.32,692.757,0.305929556
A1,22,100,1.734,3.007,23.903,571.363,0.330575893
A1,23,100,2.042,4.168,37.508,1406.835,0.587322748
A1,24,100,1.586,2.514,20.154,406.197,0.281119202
A1,25,100,1.93,3.725,37.738,1424.165,0.665336907
A4,1,100,1.56,2.433,27.97,782.307,0.448667547
A5,1,100,1.753,3.072,34.585,1196.131,0.79876527
A5,2,100,1.56,2.435,32.485,1055.257,0.889066107
A5,3,100,1.672,2.797,32.98,1087.69,0.797847421
A5,4,100,1.507,2.27,31.719,1006.097,0.909117175
A5,5,100,1.793,3.215,35.874,1286.913,0.821206904
A6,1,100,1.696,2.877,30.105,906.309,0.689724255
A6,2,100,1.754,3.077,35.114,1232.982,0.877562958
A6,3,100,1.616,2.612,31.681,1003.676,0.841269703
A6,4,100,1.758,3.091,33.933,1151.424,0.815648187
A6,5,100,1.98,3.921,27.095,734.143,0.409957358
F1,1,100,2.13,4.538,36.557,1336.429,0.450560041
F1,2,100,2.677,7.164,46.181,2132.675,0.455457174
F1,3,100,2.478,6.143,51.86,2689.431,0.669872074
F1,4,100,2.282,5.209,52.621,2768.943,0.81337543
F1,5,100,2.246,5.043,42.349,1793.475,0.54409446
M1,1,100,1.327,1.761,25.059,627.94,0.434400536
M1,2,100,1.339,1.793,12.334,152.129,0.103343789
M1,3,100,1.738,3.02,33.689,1134.955,0.457743547
M1,4,100,1.363,1.856,8.272,68.42,0.0448927
M1,5,100,1.301,1.694,8.431,71.086,0.051117677
M2,1,100,2.201,4.846,41.565,1727.644,0.684571006
M2,2,100,1.755,3.081,28.171,793.601,0.494630673
M2,3,100,1.68,2.824,30.857,952.16,0.647547156
M2,4,100,1.765,3.116,30.752,945.666,0.582866784
M2,5,100,1.856,3.445,39.086,1527.746,0.851630238
